Date,Close/Last,Volume,Open,High,Low
12/27/2021,$3393.39,2942341,$3420.74,$3458.86,$3384.31
12/23/2021,$3421.37,1839412,$3408.56,$3439.5,$3403
12/22/2021,$3420.74,2751773,$3385.395,$3441,$3370.01
12/21/2021,$3408.34,2797791,$3357.01,$3414.3299,$3312.95
12/20/2021,$3341.58,2868633,$3337,$3357.4851,$3312
12/17/2021,$3400.35,4287758,$3354.21,$3417.97,$3312.271
12/16/2021,$3377.42,3043842,$3467.371,$3483.32,$3363.205
12/15/2021,$3466.3,3789713,$3371.96,$3472,$3303.9
12/14/2021,$3381.83,2798764,$3351,$3389.98,$3328.8
12/13/2021,$3391.35,3108450,$3440,$3442,$3382.6
12/10/2021,$3444.24,3034488,$3508.34,$3518.54,$3410
12/09/2021,$3483.42,2303091,$3515,$3539.39,$3482.79
12/08/2021,$3523.16,2262683,$3523.01,$3543.6,$3495.01
12/07/2021,$3523.29,3320536,$3492,$3549.99,$3466.69
12/06/2021,$3427.37,3443000,$3393,$3473.91,$3338.69
12/03/2021,$3389.79,4035550,$3455,$3469.865,$3338.6
12/02/2021,$3437.36,3236288,$3460,$3492.7,$3423.75
12/01/2021,$3443.72,3756995,$3545,$3559.88,$3441.6
11/30/2021,$3507.07,4001107,$3563.5,$3585.77,$3492.01
11/29/2021,$3561.57,3265557,$3547.6443,$3596,$3531.5001
